Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Shops,Price
11809,27,3,115,32,10,4,10.0,2014,3,305018.8710894109
3013,22,1,39,23,8,7,8.0,1966,3,177734.5534071411
8215,1,3,78,47,10,2,17.0,1988,1,282078.7208500433
2352,1,1,40,32,6,10,22.0,1977,1,168106.00763001086
13866,94,2,64,38,9,16,16.0,1972,6,343995.10296205425
5804,99,3,62,47,6,9,9.0,1972,4,161044.94413780785
8864,44,1,33,21,9,1,12.0,1968,3,142402.73927153
13072,59,2,50,32,8,8,17.0,1986,5,326174.1751906913
9951,1,1,46,44,6,12,20.0,1977,1,160400.40173203114
8094,6,3,79,75,6,3,17.0,2014,3,194756.02394527625
535,2,3,74,44,10,5,14.0,2008,3,512797.3734005682
16755,88,2,53,34,8,2,12.0,1978,9,253124.0053320823
898,93,1,47,23,13,9,24.0,2012,3,199556.86590520246
3526,90,2,43,26,6,5,9.0,1969,2,213001.5152692308
191,36,3,81,43,10,2,22.0,2008,3,481360.3607276174
4328,96,1,36,16,9,3,12.0,2003,4,168143.3456997873
11942,48,1,44,24,8,7,12.0,1981,10,207633.6602870756
1190,8,2,49,28,6,6,5.0,1962,5,186971.9265661055
4581,1,1,47,32,6,16,16.0,1977,1,128803.59381001431
367,45,1,42,40,6,16,14.0,2015,2,250466.98077681608
8768,63,1,50,32,6,7,16.0,2018,6,260328.41337559265
8471,20,3,75,47,8,11,9.0,1976,5,366916.2464940092
1550,7,3,86,46,10,3,17.0,1986,6,421803.7487527664
13427,103,1,38,23,9,6,12.0,1969,3,194273.04455506642
4717,27,1,44,32,6,2,13.0,1977,3,135466.55995845908
4521,6,2,65,32,6,18,1.0,1977,3,191205.27260844488
8553,88,3,83,32,6,13,1.0,1977,9,410883.89201982936
1403,67,2,52,33,8,13,14.0,1985,4,235998.2077440021
1924,24,1,34,19,6,5,5.0,1960,3,173155.77077902228
5273,23,2,53,32,9,3,3.0,2019,3,94061.94357934453
5931,23,1,43,32,6,3,4.0,1977,3,72659.97157533352
13084,38,1,47,22,6,21,24.0,2014,7,233717.2987088421
3876,100,4,104,79,8,4,8.0,1960,3,600903.8285622502
847,74,2,73,74,6,7,6.0,1977,2,254005.38186295828
7757,27,2,58,55,11,13,12.0,1977,3,138396.98461170195
3961,23,2,65,32,6,11,17.0,1977,2,193398.61374915
57,35,2,46,29,6,4,9.0,1974,11,203384.32802587762
1699,9,1,78,76,6,8,7.0,1977,4,226206.96243502828
7679,23,2,55,32,6,3,4.0,1977,3,93217.7529240404
3736,167,2,56,36,7,6,5.0,1956,3,299177.50263524376
10954,119,1,32,17,6,4,5.0,1963,8,158611.39437663936
7161,129,3,80,52,8,2,5.0,1961,5,308656.41967736284
8576,4,2,53,50,6,5,12.0,1976,5,308108.23387345177
3486,62,1,33,22,6,2,9.0,1979,7,154480.96795636456
9024,6,3,79,32,6,16,1.0,1977,3,193595.8005105045
8007,173,2,44,31,6,3,5.0,1969,4,301309.74408345786
6728,37,4,99,66,9,18,22.0,1985,3,362108.4338133904
6186,1,1,62,32,6,7,1.0,1977,1,197006.1241876457
12307,60,1,40,38,8,13,14.0,1974,19,160810.5466807867
5474,111,2,63,40,10,16,22.0,2006,4,91594.31553801152
9629,124,3,78,58,6,9,9.0,1953,5,387904.13631971186
12774,157,2,62,28,8,5,10.0,1956,5,555661.9439687196
15626,138,1,36,21,6,2,9.0,1973,2,165911.1630485483
9480,37,2,57,32,8,6,16.0,1982,3,254688.11688666075
1414,147,1,37,21,9,11,14.0,1973,8,198633.62900969788
1849,66,1,42,21,13,4,5.0,1965,3,180450.68204402085
16780,42,1,40,18,10,4,24.0,2007,3,171531.56915459645
16752,1,3,79,32,6,2,17.0,1977,1,200932.350329152
2304,94,1,35,17,7,8,9.0,1972,6,170703.86725876507
6846,27,1,52,32,6,13,17.0,1977,3,155463.0920325192
10593,41,3,87,44,12,13,14.0,2013,3,202696.04613505164
2556,23,1,43,32,6,8,25.0,2014,2,124902.5557874368
3849,23,1,44,32,6,5,17.0,1977,3,80356.31884143525
11630,58,1,30,15,6,3,12.0,1973,3,117941.28675294653
3992,1,3,87,87,6,21,22.0,1977,1,300180.3656688172
8364,63,1,41,23,8,4,12.0,1983,6,181842.46125624425
14385,75,1,47,21,8,7,17.0,1979,1,250434.86992014808
5661,147,3,75,49,7,7,12.0,1966,8,422637.794709854
3157,81,4,90,62,8,7,10.0,1960,8,526817.5633390079
3585,110,2,55,32,8,12,12.0,1995,8,223528.98257966046
3524,6,1,38,32,6,9,17.0,1977,3,128959.85248764248
13726,27,1,47,22,6,16,1.0,1977,3,130190.64357920545
5643,9,1,36,20,9,5,12.0,2008,4,144224.82073375766
1140,45,1,40,19,9,10,12.0,1968,3,211360.70205978784
9393,23,1,37,32,6,3,3.0,1977,3,91945.04570153714
7381,5,2,45,27,6,3,9.0,1971,5,228628.22570789306
11983,5,2,56,30,8,6,14.0,1977,5,298194.5131791228
11771,45,1,38,39,6,11,9.0,1977,2,247440.53060064913
16429,57,3,64,63,8,6,9.0,1977,4,291872.4137006557
2286,99,2,47,28,6,9,9.0,1972,4,188832.70553528785
13235,77,1,38,25,7,12,12.0,1977,16,174776.0316673406
7285,5,1,34,24,6,2,5.0,1968,5,144605.50562142633
11919,11,1,40,21,10,12,16.0,1982,1,165302.1305422592
11507,61,2,52,33,8,12,17.0,2003,9,295873.5506603369
4758,23,2,65,32,6,4,17.0,1977,2,158591.79176787275
897,111,4,98,63,14,3,17.0,2003,11,474500.5855912774
10807,120,3,58,39,6,6,9.0,1976,11,86480.95622349638
12537,1,1,45,32,6,21,4.0,1977,1,179032.66611623476
4439,121,2,59,32,6,22,1.0,1977,7,305673.9362067691
13616,27,1,37,37,10,8,17.0,2017,1,108540.77296972286
16163,101,2,51,34,9,9,12.0,1968,2,230372.6610038333
12715,101,2,44,27,6,4,5.0,1964,2,177535.3737452566
2357,32,1,31,15,6,5,5.0,1972,11,170343.755036283
15484,21,1,41,22,8,3,14.0,1991,5,165446.79634548828
12339,23,1,47,32,6,5,3.0,1977,3,126602.6739815092
16695,23,1,36,32,6,8,17.0,1977,2,123225.90337009088
14717,21,1,37,23,6,5,6.0,1962,4,178032.89265551203
13145,58,2,49,31,6,3,9.0,1969,2,152555.76054157945
7028,111,2,54,30,8,15,17.0,1990,2,214439.61236821147
6392,27,3,49,32,6,17,25.0,2016,3,138397.35712228325
13343,74,2,79,82,6,8,21.0,1977,2,226808.7471681844
15456,140,2,47,30,6,4,5.0,1960,6,204610.6486302805
12734,23,3,79,46,12,7,17.0,2011,2,145255.444043028
2497,6,3,80,49,12,17,17.0,2011,3,212387.35341070392
4496,7,3,73,46,9,8,16.0,2012,9,199179.72589465068
9544,46,1,36,21,6,3,5.0,1968,5,173393.07096786812
12997,4,3,75,52,8,9,9.0,1956,23,574631.3340507058
13189,11,2,46,28,6,7,9.0,1974,1,210486.25913632664
8871,91,1,31,20,6,1,5.0,1965,5,140029.71954866382
14497,30,3,80,32,10,3,3.0,2016,23,187612.01071040455
8746,0,3,65,46,6,2,9.0,1969,8,293122.5288732056
13875,20,1,28,32,6,6,10.0,2014,5,199248.11437562987
12321,33,2,44,32,6,7,5.0,1977,10,240274.79503573853
5720,27,2,66,32,6,10,17.0,1977,3,187907.06715514246
10773,77,3,79,44,10,16,17.0,1984,3,322048.43399028893
13232,23,2,61,60,6,14,25.0,1977,2,162052.06450784186
5594,23,3,105,32,6,16,25.0,1977,2,245260.2310071209
7944,23,2,62,32,6,23,25.0,1977,2,166176.55791809937
2881,85,3,72,47,10,9,16.0,1982,7,290525.22357393557
5112,6,2,63,32,10,17,17.0,2014,3,174741.9980609786
12709,6,2,65,32,6,15,17.0,1977,3,173654.55177500538
16102,17,1,38,19,10,14,12.0,1966,2,202533.97064362981
11018,56,3,67,42,8,2,16.0,1982,3,334325.6439923818
739,84,4,102,74,9,4,5.0,1961,1,415574.1158191548
14634,137,3,72,47,7,17,16.0,1981,3,381975.5122369781
6119,67,2,48,28,6,3,9.0,1978,4,219765.0281427781
1037,48,3,62,46,6,2,12.0,1982,10,296954.4462646551
3794,143,2,53,30,10,7,16.0,1978,1,372616.4560178341
5041,66,1,41,23,9,5,14.0,1973,3,208885.90899877038
810,11,1,40,20,7,9,9.0,1979,5,157759.0265475383
8800,23,1,29,32,6,5,12.0,1977,3,60502.58349957876
15914,63,2,43,29,6,6,12.0,1971,6,254391.27332749648
8261,57,1,40,22,9,8,16.0,1979,4,183295.13264780046
4218,88,1,42,32,10,13,20.0,2015,9,221782.00220471376
16407,31,1,35,19,6,2,5.0,1961,1,183658.92522643995
9509,9,2,60,57,6,2,11.0,1977,4,166221.47021029654
5284,27,4,119,78,13,8,12.0,2015,3,221374.05729278226
15522,21,2,52,31,8,11,17.0,1993,5,208896.49584913746
15714,5,3,61,38,7,10,9.0,1976,5,298947.3227421746
6745,6,1,50,32,6,4,1.0,1977,3,137820.11589642215
9529,1,1,41,32,6,15,17.0,1977,1,135630.04564263002
3578,11,2,46,26,6,7,5.0,1966,5,189473.46385354557
5402,27,4,98,100,6,3,1.0,2019,3,294689.6147935343
15216,53,2,59,37,10,11,17.0,2016,3,308901.3520000765
13744,163,3,71,47,7,9,12.0,1991,19,415613.5584305778
8423,96,1,41,22,8,10,14.0,1995,4,174939.5373207675
11249,200,3,107,63,12,6,16.0,1997,5,587987.4021043336
16007,53,3,73,44,7,12,12.0,1981,3,375533.6643054875
10703,78,1,45,40,10,17,24.0,2009,2,212021.25825138294
6962,27,2,44,27,6,3,5.0,1975,1,122017.66964650506
10626,44,1,38,20,9,11,12.0,1972,1,203275.6843611061
12719,53,2,57,37,10,11,24.0,2019,3,346494.28358580195
12947,53,2,56,32,6,14,13.0,1977,3,247074.56483183
10529,182,3,45,30,6,5,4.0,1977,6,352139.64408884157
2043,77,3,66,49,6,14,12.0,1976,16,238561.87098655148
6556,111,2,57,30,9,12,21.0,2010,4,400989.19361703115
12870,2,1,35,22,6,2,5.0,1968,6,158806.98113840097
7682,9,3,79,48,10,5,14.0,1993,4,246800.15531296981
9880,27,1,48,20,16,2,14.0,2011,3,131073.65850509165
13146,74,1,46,32,6,6,13.0,1977,2,168705.45014826118
12868,73,2,60,39,7,9,16.0,2007,5,426593.2611530737
6782,45,1,52,32,6,3,1.0,1977,2,438005.1823233111
16418,9,2,77,32,6,4,1.0,1977,4,228956.20490209232
11805,6,1,42,32,6,17,17.0,1977,3,129409.39379445465
15252,23,1,54,32,6,4,9.0,1977,3,106429.78223028069
10005,58,1,44,47,6,3,2.0,2019,5,106866.24874556783
2426,0,1,33,21,7,5,9.0,1971,8,162322.78401128948
14492,0,2,62,37,10,10,22.0,2007,8,334328.5902203312
8378,21,2,53,31,8,19,17.0,1995,4,271788.0071933646
4427,74,2,91,50,14,17,23.0,2010,5,383841.928038505
455,70,3,72,44,8,18,22.0,1982,5,408096.4012791789
10083,1,3,85,32,6,6,17.0,1977,1,306428.78625142964
11251,22,1,38,21,10,9,22.0,1991,4,215837.93518619105
15794,23,3,84,32,6,2,17.0,1977,2,187489.9514196116
9747,98,1,36,20,6,5,5.0,1962,2,165514.75643159472
16363,90,2,48,31,8,13,12.0,1971,2,200701.5196900732
12361,32,2,56,50,6,5,12.0,1974,11,238770.3612759979
15286,129,2,52,27,10,1,16.0,1983,5,274828.72553545807
14798,0,3,69,47,7,2,9.0,1973,6,182373.32483135405
8974,54,2,90,91,6,10,9.0,2017,6,502813.7726648614
2136,74,2,84,81,6,12,17.0,2017,2,243479.876105312
1958,55,1,42,21,10,16,22.0,1987,4,151976.07035832485
10541,101,2,43,33,6,2,5.0,1963,2,180026.27472052464
2457,138,1,34,24,6,9,9.0,1962,3,86647.80337071385
13779,66,1,56,22,14,14,17.0,2003,3,338588.2539418333
